	WT.day3.11	WT.day3.13	WT.day3.14	WT.day3.15	WT.day3.9	WT.unt.1	WT.unt.2	WT.unt.3	WT.unt.4	WT.unt.7
WT.day3.11	0.0	0.31344320819088195	0.49453648425594016	0.49261381614275107	0.2628389844389452	0.8737549172969225	0.8417056424153198	0.7527247284738892	0.8253869830217064	0.7903422140216988
WT.day3.13	0.31344320819088195	0.0	0.3880673613410839	0.4958766825621493	0.3036399730817827	0.8746506287575899	0.8492383931928292	0.7868514508664954	0.8161804048517647	0.7865539389943073
WT.day3.14	0.49453648425594016	0.3880673613410839	0.0	0.5328717379208537	0.48245435461293185	0.8769844015475287	0.8270720410962227	0.7879574606633553	0.7928967365424191	0.7865516857245911
WT.day3.15	0.49261381614275107	0.4958766825621493	0.5328717379208537	0.0	0.43923894866993346	0.8971434298653259	0.8413905901076622	0.7609387331681144	0.80220365290313	0.7866845659136482
WT.day3.9	0.2628389844389452	0.3036399730817827	0.48245435461293185	0.43923894866993346	0.0	0.8736272719280318	0.8170193747599548	0.748472339001625	0.7919213420397299	0.7489473871439789
WT.unt.1	0.8737549172969225	0.8746506287575899	0.8769844015475287	0.8971434298653259	0.8736272719280318	0.0	0.4473434189313601	0.6696004217209707	0.6618612524945081	0.6125983205697317
WT.unt.2	0.8417056424153198	0.8492383931928292	0.8270720410962227	0.8413905901076622	0.8170193747599548	0.4473434189313601	0.0	0.5816827255041813	0.5990604662539185	0.628677254401187
WT.unt.3	0.7527247284738892	0.7868514508664954	0.7879574606633553	0.7609387331681144	0.748472339001625	0.6696004217209707	0.5816827255041813	0.0	0.45332841707678617	0.4870436852161678
WT.unt.4	0.8253869830217064	0.8161804048517647	0.7928967365424191	0.80220365290313	0.7919213420397299	0.6618612524945081	0.5990604662539185	0.45332841707678617	0.0	0.3830855714940735
WT.unt.7	0.7903422140216988	0.7865539389943073	0.7865516857245911	0.7866845659136482	0.7489473871439789	0.6125983205697317	0.628677254401187	0.4870436852161678	0.3830855714940735	0.0
