index,k__Bacteria;__;__;__,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales,k__Bacteria;p__Bacteroidetes;__;__,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2,k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,k__Bacteria;p__Proteobacteria;__;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales,k__Bacteria;p__TM7;c__TM7-3;o__CW040,k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales,AntibioticUsage,DaySinceExperimentStart,Genotype,Description
WT.day3.11,0.0,65.0,0.0,5113.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,444.0,0.0,833.0,0.0,0.0,0.0,Streptomycin,DAY3,WT,16S_WT_day3_11_SRR2628505_1
WT.day3.13,0.0,240.0,0.0,5698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,916.0,0.0,0.0,0.0,Streptomycin,DAY3,WT,16S_WT_day3_13_SRR2628506_1
WT.day3.14,196.0,71.0,0.0,3896.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,2473.0,0.0,0.0,0.0,Streptomycin,DAY3,WT,16S_WT_day3_14_SRR2627471_1
WT.day3.15,0.0,297.0,0.0,2391.0,0.0,0.0,0.0,128.0,41.0,0.0,0.0,0.0,0.0,2617.0,0.0,0.0,0.0,Streptomycin,DAY3,WT,16S_WT_day3_15_SRR2628507_1
WT.day3.9,0.0,33.0,316.0,4886.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,228.0,0.0,255.0,0.0,0.0,0.0,Streptomycin,DAY3,WT,16S_WT_day3_9_SRR2628504_1
WT.unt.1,1143.0,0.0,0.0,3138.0,89.0,131.0,0.0,0.0,4069.0,0.0,0.0,70.0,0.0,0.0,50.0,0.0,27.0,None,DAY0,WT,16S_WT_unt_1_SRR2627457_1
WT.unt.2,1392.0,0.0,0.0,3995.0,43.0,0.0,0.0,0.0,3470.0,0.0,26.0,0.0,0.0,0.0,25.0,0.0,0.0,None,DAY0,WT,16S_WT_unt_2_SRR2627461_1
WT.unt.3,683.0,0.0,0.0,5672.0,92.0,25.0,0.0,76.0,1356.0,0.0,17.0,212.0,49.0,0.0,64.0,53.0,0.0,None,DAY0,WT,16S_WT_unt_3_SRR2627463_1
WT.unt.4,264.0,0.0,0.0,2999.0,97.0,127.0,0.0,0.0,4005.0,0.0,0.0,0.0,84.0,0.0,54.0,0.0,0.0,None,DAY0,WT,16S_WT_unt_4_SRR2627464_1
WT.unt.7,842.0,0.0,0.0,3600.0,0.0,75.0,0.0,0.0,3630.0,0.0,0.0,45.0,86.0,0.0,77.0,0.0,82.0,None,DAY0,WT,16S_WT_unt_7_SRR2627465_1
